pair,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:cyclo,relation_zdist,Tx8,0.9,1.884456880611875,0.489195,0.43555555555555553,0.45454545454545453,0.08,0.13605442176870747,40,352,48,460
iq:cyclo,relation_zdist,Tx5,0.95,3.5616237402335047,0.481155,0.4622222222222222,0.625,0.08,0.14184397163120568,40,376,24,460
iq:cyclo,relation_zdist,Tx6,0.95,3.5616237402335047,0.462685,0.4411111111111111,0.4666666666666667,0.042,0.07706422018348624,21,376,24,479
iq:cyclo,relation_zdist,Tx7,0.95,3.5616237402335047,0.46305,0.4477777777777778,0.5294117647058824,0.054,0.09800362976406532,27,376,24,473
iq:cyclo,relation_zdist,Tx8,0.95,3.5616237402335047,0.489195,0.43555555555555553,0.4,0.032,0.059259259259259255,16,376,24,484
iq:cyclo,relation_zdist,Tx5,0.97,5.54886668819366,0.481155,0.45222222222222225,0.5853658536585366,0.048,0.088724584103512,24,383,17,476
iq:cyclo,relation_zdist,Tx6,0.97,5.54886668819366,0.462685,0.43555555555555553,0.34615384615384615,0.018,0.03422053231939163,9,383,17,491
iq:cyclo,relation_zdist,Tx7,0.97,5.54886668819366,0.46305,0.4411111111111111,0.45161290322580644,0.028,0.052730696798493404,14,383,17,486
iq:cyclo,relation_zdist,Tx8,0.97,5.54886668819366,0.489195,0.43222222222222223,0.2608695652173913,0.012,0.022944550669216062,6,383,17,494
iq:cyclo,relation_pca_residual,Tx5,0.9,0.3530742179908471,0.509465,0.46111111111111114,0.5641025641025641,0.132,0.21393841166936792,66,349,51,434
iq:cyclo,relation_pca_residual,Tx6,0.9,0.3530742179908471,0.48061,0.46111111111111114,0.5641025641025641,0.132,0.21393841166936792,66,349,51,434
iq:cyclo,relation_pca_residual,Tx7,0.9,0.3530742179908471,0.5002,0.4633333333333333,0.5714285714285714,0.136,0.21970920840064623,68,349,51,432
iq:cyclo,relation_pca_residual,Tx8,0.9,0.3530742179908471,0.5115,0.45,0.5233644859813084,0.112,0.18451400329489293,56,349,51,444
iq:cyclo,relation_pca_residual,Tx5,0.95,0.6212120323766998,0.509465,0.4588888888888889,0.5915492957746479,0.084,0.14711033274956217,42,371,29,458
iq:cyclo,relation_pca_residual,Tx6,0.95,0.6212120323766998,0.48061,0.45111111111111113,0.546875,0.07,0.12411347517730496,35,371,29,465
iq:cyclo,relation_pca_residual,Tx7,0.95,0.6212120323766998,0.5002,0.4444444444444444,0.5,0.058,0.1039426523297491,29,371,29,471
iq:cyclo,relation_pca_residual,Tx8,0.95,0.6212120323766998,0.5115,0.43777777777777777,0.4423076923076923,0.046,0.08333333333333333,23,371,29,477
iq:cyclo,relation_pca_residual,Tx5,0.97,0.8118056164322832,0.509465,0.45555555555555555,0.6,0.06,0.1090909090909091,30,380,20,470
iq:cyclo,relation_pca_residual,Tx6,0.97,0.8118056164322832,0.48061,0.44222222222222224,0.47368421052631576,0.036,0.06691449814126395,18,380,20,482
iq:cyclo,relation_pca_residual,Tx7,0.97,0.8118056164322832,0.5002,0.4477777777777778,0.5348837209302325,0.046,0.08471454880294658,23,380,20,477
iq:cyclo,relation_pca_residual,Tx8,0.97,0.8118056164322832,0.5115,0.44,0.4444444444444444,0.032,0.059701492537313425,16,380,20,484
iq:cyclo,relation_shrinkage_mahalanobis,Tx5,0.9,62.234535446873814,0.492925,0.4633333333333333,0.5765765765765766,0.128,0.20949263502454993,64,353,47,436
iq:cyclo,relation_shrinkage_mahalanobis,Tx6,0.9,62.234535446873814,0.470535,0.46111111111111114,0.5688073394495413,0.124,0.20361247947454844,62,353,47,438
iq:cyclo,relation_shrinkage_mahalanobis,Tx7,0.9,62.234535446873814,0.4864,0.46111111111111114,0.5688073394495413,0.124,0.20361247947454844,62,353,47,438
iq:cyclo,relation_shrinkage_mahalanobis,Tx8,0.9,62.234535446873814,0.508365,0.4411111111111111,0.4835164835164835,0.088,0.14890016920473773,44,353,47,456
iq:cyclo,relation_shrinkage_mahalanobis,Tx5,0.95,104.67712891863482,0.492925,0.4577777777777778,0.5909090909090909,0.078,0.13780918727915195,39,373,27,461
iq:cyclo,relation_shrinkage_mahalanobis,Tx6,0.95,104.67712891863482,0.470535,0.4444444444444444,0.5,0.054,0.09747292418772563,27,373,27,473
iq:cyclo,relation_shrinkage_mahalanobis,Tx7,0.95,104.67712891863482,0.4864,0.4488888888888889,0.5344827586206896,0.062,0.1111111111111111,31,373,27,469
iq:cyclo,relation_shrinkage_mahalanobis,Tx8,0.95,104.67712891863482,0.508365,0.43333333333333335,0.38636363636363635,0.034,0.0625,17,373,27,483
