pair,method,relation_dim,threshold_quantile,threshold,train_score_mean,known_score_mean,unknown_score_mean,known_unknown_mean_gap,known_score_p95,unknown_score_p50,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:cyclo,relation_shrinkage_mahalanobis,33,0.9,62.234535446873814,29.69615662824236,48.1408596259667,41.50085905877374,-6.640000567192956,125.8191187327053,11.025648892253152,0.48955625,0.24375,0.8315412186379928,0.116,0.20359806932865293,232,353,47,1768
iq:cyclo,relation_shrinkage_mahalanobis,33,0.95,104.67712891863482,29.69615662824236,48.1408596259667,41.50085905877374,-6.640000567192956,125.8191187327053,11.025648892253152,0.48955625,0.20291666666666666,0.8085106382978723,0.057,0.10649229332087809,114,373,27,1886
iq:cyclo,relation_shrinkage_mahalanobis,33,0.97,153.32066322498673,29.69615662824236,48.1408596259667,41.50085905877374,-6.640000567192956,125.8191187327053,11.025648892253152,0.48955625,0.1875,0.7906976744186046,0.034,0.06519654841802493,68,382,18,1932
iq:hos,relation_zdist,33,0.9,1.3570076176361232,1.0000000000000002,3.877776019913869,1.9868258180253422,-1.890950201888527,2.7925688112287013,0.2098627553394365,0.4852925,0.23583333333333334,0.8120300751879699,0.108,0.19064430714916153,216,350,50,1784
iq:hos,relation_zdist,33,0.95,2.6302934789724146,1.0000000000000002,3.877776019913869,1.9868258180253422,-1.890950201888527,2.7925688112287013,0.2098627553394365,0.4852925,0.20416666666666666,0.835820895522388,0.056,0.1049671977507029,112,378,22,1888
iq:hos,relation_zdist,33,0.97,3.8858216027017867,1.0000000000000002,3.877776019913869,1.9868258180253422,-1.890950201888527,2.7925688112287013,0.2098627553394365,0.4852925,0.18541666666666667,0.835820895522388,0.028,0.05418480890179003,56,389,11,1944
iq:hos,relation_pca_residual,33,0.9,0.27122230606755776,0.1280557782488757,1.9427785372926187,0.4503295371657713,-1.4924490001268476,0.62946754195723,0.0431019045570217,0.50307625,0.23916666666666667,0.8020833333333334,0.1155,0.20192307692307693,231,343,57,1769
iq:hos,relation_pca_residual,33,0.95,0.5235201350132112,0.1280557782488757,1.9427785372926187,0.4503295371657713,-1.4924490001268476,0.62946754195723,0.0431019045570217,0.50307625,0.20041666666666666,0.8091603053435115,0.053,0.09948381041764429,106,375,25,1894
iq:hos,relation_pca_residual,33,0.97,0.7319963229629536,0.1280557782488757,1.9427785372926187,0.4503295371657713,-1.4924490001268476,0.62946754195723,0.0431019045570217,0.50307625,0.19083333333333333,0.8222222222222222,0.037,0.07081339712918659,74,384,16,1926
iq:hos,relation_shrinkage_mahalanobis,33,0.9,55.77369906562888,28.3404572981199,226.79221277858585,79.31794767771183,-147.47426510087402,99.89457274366538,8.453661344045026,0.49617,0.2375,0.8171641791044776,0.1095,0.1931216931216931,219,351,49,1781
iq:hos,relation_shrinkage_mahalanobis,33,0.95,98.57860719947003,28.3404572981199,226.79221277858585,79.31794767771183,-147.47426510087402,99.89457274366538,8.453661344045026,0.49617,0.20583333333333334,0.8455882352941176,0.0575,0.10767790262172285,115,379,21,1885
iq:hos,relation_shrinkage_mahalanobis,33,0.97,140.49170224877838,28.3404572981199,226.79221277858585,79.31794767771183,-147.47426510087402,99.89457274366538,8.453661344045026,0.49617,0.18625,0.8051948051948052,0.031,0.05970149253731343,62,385,15,1938
iq:bispectrum,relation_zdist,33,0.9,1.9891274784653472,1.0,1.2279161401967886,1.2962246481069792,0.06830850791019061,3.5153817280436503,0.4601750128340426,0.4943575,0.24125,0.8302583025830258,0.1125,0.19815059445178335,225,354,46,1775
