tx,rep_a,rep_b,linear_cka,cca_top1,cca_mean3,cca_mean5,split_cca_top1,split_cca_mean3,split_cca_mean5,cca_components_a,cca_components_b
Tx2,ap,cepstral,0.7969422106729748,0.9942378108199608,0.9539575905002092,0.8970662879608188,0.9902271601527328,0.927590267413151,0.8456914617857396,16,16
Tx2,ap,cyclo,0.8235711307964309,0.9985305666048027,0.9694700666724833,0.9066163153821698,0.9918758949747792,0.958438185131628,0.8663267604273516,16,16
Tx2,ap,hos,0.5898203036589802,0.9948199581079793,0.9819858388597918,0.9307327010248804,0.9570770696554359,0.9570937113920918,0.8911179443547906,16,16
Tx2,ap,bispectrum,0.45495165578469476,0.9752911146117902,0.843813962388122,0.7027816197672241,0.9581238203702165,0.740920035161866,0.6012393928377285,16,16
Tx2,fft,stft,0.833873633123254,0.999114234390465,0.9841017208230336,0.9500127879667921,0.9958723145545775,0.9745419847063995,0.9290847787680798,16,16
Tx2,fft,cepstral,0.7702731818978443,1.0,0.9888521308016487,0.9734196719001309,0.9963510000765111,0.9842103737695934,0.9696800326035913,16,16
Tx2,fft,cyclo,0.5431178258515403,0.9983415346090622,0.9499013816451359,0.7689976898989987,0.995004748328357,0.9505732300844492,0.7323342751717775,16,16
Tx2,fft,hos,0.3847855043979071,0.9930809151634825,0.8398686500269964,0.6854000787788718,0.9905717481983275,0.584837072622519,0.4705050668289859,16,16
Tx2,fft,bispectrum,0.5731346020648173,0.9838045048351874,0.8882921594797001,0.7615344976346743,0.9762851524333686,0.8525629029548222,0.6799263929559234,16,16
Tx2,stft,cepstral,0.8417803151571049,0.9982681565412248,0.9801656660094208,0.9179033440168517,0.993767884180939,0.9551886761608346,0.898017521434749,16,16
Tx2,stft,cyclo,0.5791857420529036,0.9948770258732346,0.9797297611124169,0.9381043344272184,0.9832195564725092,0.9698508317950626,0.9268782155253188,16,16
Tx2,stft,hos,0.4327565635557187,0.989372402011712,0.9353948557134871,0.7921989861199175,0.9827316397641042,0.9177447719640699,0.7087460319396254,16,16
Tx2,stft,bispectrum,0.6463773845931224,0.9834944753140943,0.8732870345866407,0.7280679515699952,0.9775255002202168,0.811870361279467,0.6026969623265886,16,16
Tx2,cepstral,cyclo,0.7858011751311104,0.9942521013457457,0.9255851891629353,0.7931548160209293,0.9852152702299615,0.8826481453798269,0.7087680455426354,16,16
Tx2,cepstral,hos,0.52313046448803,0.991025915462239,0.8507128022013247,0.7058874177159696,0.978408976703613,0.7452192009238097,0.5918860030432325,16,16
Tx2,cepstral,bispectrum,0.6374957451898139,0.9800733956677379,0.847770870959126,0.7157992698784034,0.972168753282345,0.8236090763814407,0.6596400061661507,16,16
Tx2,cyclo,hos,0.6847077118116809,0.9943068672152846,0.9783559156902557,0.909592836183154,0.9887781214736997,0.9342707283308126,0.8668232742469317,16,16
Tx2,cyclo,bispectrum,0.4271411629287036,0.9691353143352313,0.769142913158326,0.5999989153163361,0.944841997051022,0.64394479887779,0.44371642358342356,16,16
Tx2,hos,bispectrum,0.3064820713420459,0.968134705087256,0.803620796423531,0.6268483829656066,0.9675537434926811,0.7960092739036119,0.5504285545199793,16,16
Tx3,iq,ap,0.6558371916601892,1.0,0.9988234677776585,0.9841386873345213,0.9989800504238634,0.9943933711826309,0.9793859070359986,16,16
Tx3,iq,fft,0.41412333461624135,0.9881066221752057,0.9673096058965918,0.8576769615588594,0.9742318165064809,0.9329312408256273,0.7682036937759071,16,16
Tx3,iq,stft,0.3346617139377663,0.9799998999961546,0.8672669474673484,0.7230941696289265,0.9753806920562322,0.7441613532057013,0.5893145066084632,16,16
Tx3,iq,cepstral,0.3533814067557819,0.9797180972267076,0.9219533441837876,0.7712995001515555,0.9702408593194135,0.89190628369828,0.6816819679286953,16,16
Tx3,iq,cyclo,0.30700801829864044,0.9862347401723365,0.9306189206042895,0.8239958247378144,0.9676339744798933,0.8574166253812012,0.6699112069283427,16,16
Tx3,iq,hos,0.31156654853219745,0.9966631349978373,0.9885722885283249,0.9745214078836281,0.9887678087990072,0.9784277608449191,0.813502021688957,16,16
Tx3,iq,bispectrum,0.27752524843462506,0.9576999946194762,0.821155397686073,0.6482975302903708,0.9422933573373589,0.6982765179967996,0.5090160698308159,16,16
Tx3,ap,fft,0.657777160977195,0.998761381808023,0.9810856824833616,0.9449344972638904,0.9935064624714331,0.9628184939501745,0.9124782720680601,16,16
Tx3,ap,stft,0.6475063824727331,0.9943878749720115,0.9570974237207724,0.8965201501861078,0.990911091212605,0.9475706103130138,0.8729516444960035,16,16
Tx3,ap,cepstral,0.7950168008557621,0.9929592320636845,0.9472347129694622,0.8973327125801337,0.9829711665489346,0.9379412260977255,0.8925332994551551,16,16
Tx3,ap,cyclo,0.8171259336111156,0.9967453542637872,0.9768783335245934,0.9225024728927022,0.9932902559314375,0.9698481817060909,0.8875901987192899,16,16
Tx3,ap,hos,0.5785192513691113,0.993462159430749,0.9762738517259519,0.8946700403660091,0.9784172337470918,0.9358224621930878,0.681773032595208,16,16
Tx3,ap,bispectrum,0.48460722494271397,0.9738202859907437,0.8561240256191107,0.7405363193778636,0.9610286430743937,0.788343494343911,0.5962314730055677,16,16
Tx3,fft,stft,0.8393171881333359,0.9997334447248576,0.9793093752167138,0.9451769642224361,0.9968064383960822,0.9783140884095597,0.9387822548242066,16,16
Tx3,fft,cepstral,0.8000840481610133,1.0,0.9893702398744125,0.9661503448010718,0.9977452839497853,0.978906116160745,0.9548144543775094,16,16
Tx3,fft,cyclo,0.54291359246989,0.998263253426254,0.9703915496677634,0.8049961355600773,0.9961024813699682,0.9677588318171694,0.7679300900445533,16,16
Tx3,fft,hos,0.3886109502098055,0.9929735085384175,0.8315363881717343,0.6753434753284118,0.9882200592043481,0.702361406377522,0.5141414886413191,16,16
Tx3,fft,bispectrum,0.5628400698389376,0.9860304178574744,0.8971859789626543,0.7980343845614104,0.9735857865084426,0.8449698205062574,0.6969639342915728,16,16
Tx3,stft,cepstral,0.8590892141762763,0.9977014389650991,0.9761055650020981,0.9168408128683552,0.9947240395920884,0.9648699398443027,0.867357929129011,16,16
Tx3,stft,cyclo,0.5897044017294674,0.9920887747799583,0.9787315289995707,0.9444489095938742,0.9859706205222083,0.9690612653542386,0.9363427265823011,16,16
Tx3,stft,hos,0.4440797087156517,0.9851911324914974,0.9286456344947913,0.7830719966936909,0.9744188070999029,0.8844714969204001,0.7256745421816415,16,16
Tx3,stft,bispectrum,0.6335290833941803,0.9795220508633055,0.887789020249021,0.7729261890772312,0.9704767605248844,0.853968928434692,0.6923801434156596,16,16
Tx3,cepstral,cyclo,0.7570159227174059,0.994287663106528,0.9433431092929326,0.8359580048427981,0.9896022690022103,0.9109436098027378,0.7666133703805801,16,16
Tx3,cepstral,hos,0.5094878713977837,0.9906978462869276,0.8383319123792597,0.6897376206958185,0.9728668718156088,0.7874988469171621,0.5752430692925905,16,16
Tx3,cepstral,bispectrum,0.6264641450234217,0.976921785330062,0.8604133661215251,0.7309482482312639,0.9719262072733124,0.7960113473197824,0.6260703894654226,16,16
Tx3,cyclo,hos,0.6985743098803174,0.9949850892451745,0.9799710123617112,0.899215470575751,0.9933279293793951,0.9590274146061937,0.8894730785083048,16,16
Tx3,cyclo,bispectrum,0.4309900501282681,0.9602327522859758,0.8289156690278774,0.6528866102964784,0.9318000653426807,0.7618950882146932,0.5458204751736071,16,16
Tx3,hos,bispectrum,0.3069634028457931,0.9516306593550751,0.7430236996461267,0.5749923210274788,0.9269173232626143,0.7391191823386326,0.48891760728011757,16,16
Tx4,iq,ap,0.6433237486481834,1.0,0.999271899645049,0.9811850134631074,0.9989779309126706,0.9938988253172415,0.9599571438501646,16,16
Tx4,iq,fft,0.4029577342228361,0.9914895993272153,0.9660958832503551,0.8443535549527461,0.9727635114114762,0.9392847893814359,0.754316639873625,16,16
Tx4,iq,stft,0.3620060207451023,0.983698633117126,0.8460878925655014,0.6877439789751759,0.9754660469018989,0.7442977111614882,0.5514722868004126,16,16
Tx4,iq,cepstral,0.3635485157748101,0.9815067749837565,0.9241894958188667,0.746830302602619,0.9759385901258464,0.8874055495948147,0.6329867042527159,16,16
Tx4,iq,cyclo,0.2965853078761844,0.9875848861816935,0.9185547177082903,0.7991932527526107,0.978212941713045,0.8920246149839371,0.7510761733640554,16,16
Tx4,iq,hos,0.3074643772423406,0.9982601346423804,0.9934107918185178,0.9778666647842869,0.9837390690262541,0.9779152359950176,0.9360628224232327,16,16
Tx4,iq,bispectrum,0.28701401855383757,0.97012276773428,0.7970119034522752,0.6250005285500893,0.9658271645857753,0.652608826301862,0.4351030994480946,16,16
Tx4,ap,fft,0.6572845241622428,0.9990335527953039,0.9795567979269014,0.9462231163283761,0.9965509055816025,0.9703625319969644,0.9339291257820272,16,16
Tx4,ap,stft,0.6680987688918343,0.9946758101742539,0.9655526700899935,0.8739888253098462,0.9887375737248422,0.9526043811938529,0.818411303118601,16,16
Tx4,ap,cepstral,0.7598561629624189,0.9882376901963758,0.9534028324129412,0.8711454779882335,0.9729718886247919,0.9365195563400293,0.8210455232825478,16,16
Tx4,ap,cyclo,0.7895664372443745,0.9955957732566699,0.9655837892566231,0.8996514834891013,0.9816447213053892,0.940401315198412,0.8464074152728394,16,16
Tx4,ap,hos,0.591603313234087,0.9988768997904858,0.9705528801685498,0.8498681632268177,0.9644026896608207,0.9530681711214831,0.7274822890143179,16,16
Tx4,ap,bispectrum,0.49711938362707003,0.979599754586072,0.8500807271631711,0.6914721230803951,0.9699775769988508,0.7397314312800591,0.49213463913855965,16,16
Tx4,fft,stft,0.8215503055490787,0.9997723294189456,0.9811495135002369,0.9296707156398257,0.9950354433208372,0.9710552946984318,0.9185472862182209,16,16
Tx4,fft,cepstral,0.7995028783400057,1.0,0.9877852930681756,0.9561717369656477,0.9974126890898951,0.9793075443537127,0.9450460810604759,16,16
Tx4,fft,cyclo,0.5439895529349806,0.9950318429257935,0.9416364365209183,0.8265918897766387,0.9877800421217424,0.9215831565369391,0.7794085918689574,16,16
Tx4,fft,hos,0.40499385695762874,0.9929731185731532,0.8276877812488824,0.6690067196580329,0.9783127129449088,0.700687929799762,0.4918337733348051,16,16
Tx4,fft,bispectrum,0.5502745638666381,0.9864613819458273,0.8977143913083299,0.7546807200067958,0.9822998022156275,0.8369098728886019,0.642835072252361,16,16
Tx4,stft,cepstral,0.8567577909387117,0.9975911204211717,0.9592016772934312,0.8907731109087631,0.9941928558630813,0.95309205958888,0.8500001591812996,16,16
Tx4,stft,cyclo,0.6152730803112213,0.9880301360892083,0.975034174996364,0.9343885614147416,0.9816292180216692,0.9647847810509478,0.9085309002571181,16,16
Tx4,stft,hos,0.45971491667932285,0.9809056939838038,0.8844224925059206,0.7380639725343985,0.9792298836991418,0.812653296785466,0.6053455124725212,16,16
Tx4,stft,bispectrum,0.6228689786546435,0.9856772325309163,0.8892689906149273,0.7425653771377158,0.9786423376550204,0.8603669713684351,0.6781069609240128,16,16
Tx4,cepstral,cyclo,0.70671014459199,0.989891006090771,0.926001294440506,0.7943352241333962,0.9843755184888222,0.8984574048377855,0.753987002586922,16,16
Tx4,cepstral,hos,0.4862132696106702,0.9863542264194359,0.8358681168398171,0.6754208501693029,0.9757540484422,0.7232005757625389,0.4892612706053172,16,16
Tx4,cepstral,bispectrum,0.6404028002659663,0.9832952846977129,0.8510902117652059,0.6955431928976185,0.9701641924013877,0.820411211433679,0.6208126403957283,16,16
Tx4,cyclo,hos,0.7132681041685837,0.9928092074360132,0.9769807500489597,0.9054089581668112,0.9775510373606765,0.9327856776320985,0.8071980456786771,16,16
Tx4,cyclo,bispectrum,0.4664098441119046,0.9765134126825333,0.7599584370681538,0.6049961923332856,0.9659617989454672,0.6590610989613498,0.46985642261566074,16,16
Tx4,hos,bispectrum,0.3322211821203478,0.9704704062106145,0.765545140677239,0.6061399099809199,0.9532708357223074,0.7132542297478581,0.4505393358314076,16,16
