representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
cepstral,shrinkage_mahalanobis,Tx7,0.9,68.8987889141986,0.464055,0.43444444444444447,0.45794392523364486,0.098,0.1614497528830313,49,342,58,451
cepstral,shrinkage_mahalanobis,Tx8,0.9,68.8987889141986,0.51915,0.4388888888888889,0.4774774774774775,0.106,0.17348608837970542,53,342,58,447
cepstral,shrinkage_mahalanobis,Tx5,0.95,85.07843460636009,0.458565,0.45111111111111113,0.546875,0.07,0.12411347517730496,35,371,29,465
cepstral,shrinkage_mahalanobis,Tx6,0.95,85.07843460636009,0.516065,0.44,0.46296296296296297,0.05,0.09025270758122744,25,371,29,475
cepstral,shrinkage_mahalanobis,Tx7,0.95,85.07843460636009,0.464055,0.44,0.46296296296296297,0.05,0.09025270758122744,25,371,29,475
cepstral,shrinkage_mahalanobis,Tx8,0.95,85.07843460636009,0.51915,0.43555555555555553,0.42,0.042,0.07636363636363637,21,371,29,479
cepstral,shrinkage_mahalanobis,Tx5,0.97,92.38959742621091,0.458565,0.45222222222222225,0.5686274509803921,0.058,0.10526315789473682,29,378,22,471
cepstral,shrinkage_mahalanobis,Tx6,0.97,92.38959742621091,0.516065,0.4411111111111111,0.4634146341463415,0.038,0.07024029574861368,19,378,22,481
cepstral,shrinkage_mahalanobis,Tx7,0.97,92.38959742621091,0.464055,0.4444444444444444,0.5,0.044,0.08088235294117646,22,378,22,478
cepstral,shrinkage_mahalanobis,Tx8,0.97,92.38959742621091,0.51915,0.43444444444444447,0.37142857142857144,0.026,0.04859813084112149,13,378,22,487
cyclo,zdist,Tx5,0.9,2.7010646566288705,0.48308,0.4488888888888889,0.5181818181818182,0.114,0.18688524590163935,57,347,53,443
cyclo,zdist,Tx6,0.9,2.7010646566288705,0.491405,0.4477777777777778,0.5137614678899083,0.112,0.1839080459770115,56,347,53,444
cyclo,zdist,Tx7,0.9,2.7010646566288705,0.478045,0.44,0.4803921568627451,0.098,0.16279069767441862,49,347,53,451
cyclo,zdist,Tx8,0.9,2.7010646566288705,0.509245,0.4444444444444444,0.5,0.106,0.17491749174917492,53,347,53,447
cyclo,zdist,Tx5,0.95,4.418427323918298,0.48308,0.45111111111111113,0.5483870967741935,0.068,0.12099644128113878,34,372,28,466
cyclo,zdist,Tx6,0.95,4.418427323918298,0.491405,0.4444444444444444,0.5,0.056,0.10071942446043165,28,372,28,472
