representation,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
ap,pca_residual,Tx1,0.97,0.05436550704080625,100,3,97,0.03,0.016597458273576504,0.04366695479276146
ap,pca_residual,Tx2,0.97,0.05436550704080625,100,2,98,0.02,0.014944334142728746,0.04295236707279163
ap,pca_residual,Tx3,0.97,0.05436550704080625,100,8,92,0.08,0.01941305612679687,0.05970134208945318
ap,pca_residual,Tx4,0.97,0.05436550704080625,100,2,98,0.02,0.014295534714271392,0.036063435556639684
ap,shrinkage_mahalanobis,Tx1,0.9,43.59762764571232,100,13,87,0.13,22.830114751468656,79.91421896880185
ap,shrinkage_mahalanobis,Tx2,0.9,43.59762764571232,100,11,89,0.11,21.89714239623809,82.17311095550177
ap,shrinkage_mahalanobis,Tx3,0.9,43.59762764571232,100,19,81,0.19,25.32414219150348,89.38080682733673
ap,shrinkage_mahalanobis,Tx4,0.9,43.59762764571232,100,8,92,0.08,19.097296332211318,48.66098807938481
ap,shrinkage_mahalanobis,Tx1,0.95,62.64650939138125,100,6,94,0.06,22.830114751468656,79.91421896880185
ap,shrinkage_mahalanobis,Tx2,0.95,62.64650939138125,100,7,93,0.07,21.89714239623809,82.17311095550177
ap,shrinkage_mahalanobis,Tx3,0.95,62.64650939138125,100,10,90,0.1,25.32414219150348,89.38080682733673
ap,shrinkage_mahalanobis,Tx4,0.95,62.64650939138125,100,3,97,0.03,19.097296332211318,48.66098807938481
ap,shrinkage_mahalanobis,Tx1,0.97,79.62698502634333,100,5,95,0.05,22.830114751468656,79.91421896880185
ap,shrinkage_mahalanobis,Tx2,0.97,79.62698502634333,100,6,94,0.06,21.89714239623809,82.17311095550177
ap,shrinkage_mahalanobis,Tx3,0.97,79.62698502634333,100,7,93,0.07,25.32414219150348,89.38080682733673
ap,shrinkage_mahalanobis,Tx4,0.97,79.62698502634333,100,1,99,0.01,19.097296332211318,48.66098807938481
fft,zdist,Tx1,0.9,2.216901354390927,100,16,84,0.16,1.0679805382496386,3.129197543337767
fft,zdist,Tx2,0.9,2.216901354390927,100,6,94,0.06,0.7821640317419,2.278749498215519
fft,zdist,Tx3,0.9,2.216901354390927,100,15,85,0.15,1.1334548470918973,3.9812706534463813
fft,zdist,Tx4,0.9,2.216901354390927,100,8,92,0.08,1.0033612244620493,2.947456688618203
fft,zdist,Tx1,0.95,2.672558117286347,100,6,94,0.06,1.0679805382496386,3.129197543337767
fft,zdist,Tx2,0.95,2.672558117286347,100,1,99,0.01,0.7821640317419,2.278749498215519
fft,zdist,Tx3,0.95,2.672558117286347,100,10,90,0.1,1.1334548470918973,3.9812706534463813
fft,zdist,Tx4,0.95,2.672558117286347,100,6,94,0.06,1.0033612244620493,2.947456688618203
fft,zdist,Tx1,0.97,3.295592376833843,100,5,95,0.05,1.0679805382496386,3.129197543337767
fft,zdist,Tx2,0.97,3.295592376833843,100,1,99,0.01,0.7821640317419,2.278749498215519
fft,zdist,Tx3,0.97,3.295592376833843,100,8,92,0.08,1.1334548470918973,3.9812706534463813
fft,zdist,Tx4,0.97,3.295592376833843,100,3,97,0.03,1.0033612244620493,2.947456688618203
fft,pca_residual,Tx1,0.9,0.022759275451254404,100,13,87,0.13,0.012774979138020948,0.02913726330930265
fft,pca_residual,Tx2,0.9,0.022759275451254404,100,10,90,0.1,0.011820179851855716,0.031048974940588756
fft,pca_residual,Tx3,0.9,0.022759275451254404,100,11,89,0.11,0.012351553214757062,0.02929394858798325
fft,pca_residual,Tx4,0.9,0.022759275451254404,100,12,88,0.12,0.013380220932963385,0.03331713694188083
fft,pca_residual,Tx1,0.95,0.030290249799110793,100,4,96,0.04,0.012774979138020948,0.02913726330930265
fft,pca_residual,Tx2,0.95,0.030290249799110793,100,6,94,0.06,0.011820179851855716,0.031048974940588756
fft,pca_residual,Tx3,0.95,0.030290249799110793,100,5,95,0.05,0.012351553214757062,0.02929394858798325
fft,pca_residual,Tx4,0.95,0.030290249799110793,100,6,94,0.06,0.013380220932963385,0.03331713694188083
fft,pca_residual,Tx1,0.97,0.034613460980491874,100,3,97,0.03,0.012774979138020948,0.02913726330930265
fft,pca_residual,Tx2,0.97,0.034613460980491874,100,5,95,0.05,0.011820179851855716,0.031048974940588756
fft,pca_residual,Tx3,0.97,0.034613460980491874,100,4,96,0.04,0.012351553214757062,0.02929394858798325
fft,pca_residual,Tx4,0.97,0.034613460980491874,100,5,95,0.05,0.013380220932963385,0.03331713694188083
