pair,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
iq:cyclo,relation_zdist,Tx2,0.95,3.5616237402335047,100,7,93,0.07,1.9842095071500119,7.110493330804418
iq:cyclo,relation_zdist,Tx3,0.95,3.5616237402335047,100,5,95,0.05,1.5553387583662663,3.416722781308647
iq:cyclo,relation_zdist,Tx4,0.95,3.5616237402335047,100,5,95,0.05,0.754302900230727,2.4848033334307704
iq:cyclo,relation_zdist,Tx1,0.97,5.54886668819366,100,5,95,0.05,1.1587437692303768,5.030878778483774
iq:cyclo,relation_zdist,Tx2,0.97,5.54886668819366,100,6,94,0.06,1.9842095071500119,7.110493330804418
iq:cyclo,relation_zdist,Tx3,0.97,5.54886668819366,100,4,96,0.04,1.5553387583662663,3.416722781308647
iq:cyclo,relation_zdist,Tx4,0.97,5.54886668819366,100,2,98,0.02,0.754302900230727,2.4848033334307704
iq:cyclo,relation_pca_residual,Tx1,0.9,0.3530742179908471,100,11,89,0.11,0.2935863070167393,0.8297661211676266
iq:cyclo,relation_pca_residual,Tx2,0.9,0.3530742179908471,100,16,84,0.16,0.3862331585364048,1.335324115516348
iq:cyclo,relation_pca_residual,Tx3,0.9,0.3530742179908471,100,16,84,0.16,0.4794781405732021,0.6594317810774896
iq:cyclo,relation_pca_residual,Tx4,0.9,0.3530742179908471,100,8,92,0.08,0.15839036125351527,0.6355576284696213
iq:cyclo,relation_pca_residual,Tx1,0.95,0.6212120323766998,100,8,92,0.08,0.2935863070167393,0.8297661211676266
iq:cyclo,relation_pca_residual,Tx2,0.95,0.6212120323766998,100,9,91,0.09,0.3862331585364048,1.335324115516348
iq:cyclo,relation_pca_residual,Tx3,0.95,0.6212120323766998,100,6,94,0.06,0.4794781405732021,0.6594317810774896
iq:cyclo,relation_pca_residual,Tx4,0.95,0.6212120323766998,100,6,94,0.06,0.15839036125351527,0.6355576284696213
iq:cyclo,relation_pca_residual,Tx1,0.97,0.8118056164322832,100,6,94,0.06,0.2935863070167393,0.8297661211676266
iq:cyclo,relation_pca_residual,Tx2,0.97,0.8118056164322832,100,8,92,0.08,0.3862331585364048,1.335324115516348
iq:cyclo,relation_pca_residual,Tx3,0.97,0.8118056164322832,100,4,96,0.04,0.4794781405732021,0.6594317810774896
iq:cyclo,relation_pca_residual,Tx4,0.97,0.8118056164322832,100,2,98,0.02,0.15839036125351527,0.6355576284696213
iq:cyclo,relation_shrinkage_mahalanobis,Tx1,0.9,62.234535446873814,100,10,90,0.1,40.712690712033705,177.62993294881684
iq:cyclo,relation_shrinkage_mahalanobis,Tx2,0.9,62.234535446873814,100,12,88,0.12,65.23579349463806,188.97102573573497
iq:cyclo,relation_shrinkage_mahalanobis,Tx3,0.9,62.234535446873814,100,16,84,0.16,62.86190833061638,118.08361971793764
iq:cyclo,relation_shrinkage_mahalanobis,Tx4,0.9,62.234535446873814,100,9,91,0.09,23.75304596657867,84.87571902465403
iq:cyclo,relation_shrinkage_mahalanobis,Tx1,0.95,104.67712891863482,100,7,93,0.07,40.712690712033705,177.62993294881684
iq:cyclo,relation_shrinkage_mahalanobis,Tx2,0.95,104.67712891863482,100,9,91,0.09,65.23579349463806,188.97102573573497
iq:cyclo,relation_shrinkage_mahalanobis,Tx3,0.95,104.67712891863482,100,8,92,0.08,62.86190833061638,118.08361971793764
iq:cyclo,relation_shrinkage_mahalanobis,Tx4,0.95,104.67712891863482,100,3,97,0.03,23.75304596657867,84.87571902465403
iq:cyclo,relation_shrinkage_mahalanobis,Tx1,0.97,153.32066322498673,100,7,93,0.07,40.712690712033705,177.62993294881684
iq:cyclo,relation_shrinkage_mahalanobis,Tx2,0.97,153.32066322498673,100,6,94,0.06,65.23579349463806,188.97102573573497
iq:cyclo,relation_shrinkage_mahalanobis,Tx3,0.97,153.32066322498673,100,4,96,0.04,62.86190833061638,118.08361971793764
iq:cyclo,relation_shrinkage_mahalanobis,Tx4,0.97,153.32066322498673,100,1,99,0.01,23.75304596657867,84.87571902465403
iq:hos,relation_zdist,Tx1,0.9,1.3570076176361232,100,12,88,0.12,1.1587708695103265,2.1471162506922346
iq:hos,relation_zdist,Tx2,0.9,1.3570076176361232,100,14,86,0.14,12.962027314351365,3.64341780735274
iq:hos,relation_zdist,Tx3,0.9,1.3570076176361232,100,16,84,0.16,0.8746512178496598,2.8303792879748544
iq:hos,relation_zdist,Tx4,0.9,1.3570076176361232,100,8,92,0.08,0.515654677944131,1.9731550261548092
iq:hos,relation_zdist,Tx1,0.95,2.6302934789724146,100,4,96,0.04,1.1587708695103265,2.1471162506922346
iq:hos,relation_zdist,Tx2,0.95,2.6302934789724146,100,7,93,0.07,12.962027314351365,3.64341780735274
iq:hos,relation_zdist,Tx3,0.95,2.6302934789724146,100,7,93,0.07,0.8746512178496598,2.8303792879748544
iq:hos,relation_zdist,Tx4,0.95,2.6302934789724146,100,4,96,0.04,0.515654677944131,1.9731550261548092
iq:hos,relation_zdist,Tx1,0.97,3.8858216027017867,100,3,97,0.03,1.1587708695103265,2.1471162506922346
iq:hos,relation_zdist,Tx2,0.97,3.8858216027017867,100,5,95,0.05,12.962027314351365,3.64341780735274
