pair,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:fft,relation_shrinkage_mahalanobis,Tx8,0.97,173.33074307822324,0.53096,0.21833333333333332,0.8444444444444444,0.076,0.13944954128440368,38,93,7,462
iq:stft,relation_zdist,Tx2,0.9,1.9619480421201443,0.45608,0.26,0.8111111111111111,0.146,0.24745762711864405,73,83,17,427
iq:stft,relation_zdist,Tx3,0.9,1.9619480421201443,0.47486,0.2733333333333333,0.826530612244898,0.162,0.2709030100334448,81,83,17,419
iq:stft,relation_zdist,Tx4,0.9,1.9619480421201443,0.4844,0.27666666666666667,0.83,0.166,0.27666666666666667,83,83,17,417
iq:stft,relation_zdist,Tx5,0.9,1.9619480421201443,0.45638,0.26,0.8111111111111111,0.146,0.24745762711864405,73,83,17,427
iq:stft,relation_zdist,Tx6,0.9,1.9619480421201443,0.46038,0.2683333333333333,0.8210526315789474,0.156,0.26218487394957984,78,83,17,422
iq:stft,relation_zdist,Tx7,0.9,1.9619480421201443,0.45136,0.26,0.8111111111111111,0.146,0.24745762711864405,73,83,17,427
iq:stft,relation_zdist,Tx8,0.9,1.9619480421201443,0.44368,0.21,0.7166666666666667,0.086,0.15357142857142858,43,83,17,457
iq:stft,relation_zdist,Tx2,0.95,3.0980557410437792,0.45608,0.23666666666666666,0.8181818181818182,0.108,0.19081272084805653,54,88,12,446
iq:stft,relation_zdist,Tx3,0.95,3.0980557410437792,0.47486,0.23666666666666666,0.8181818181818182,0.108,0.19081272084805653,54,88,12,446
iq:stft,relation_zdist,Tx4,0.95,3.0980557410437792,0.4844,0.21833333333333332,0.7818181818181819,0.086,0.15495495495495495,43,88,12,457
iq:stft,relation_zdist,Tx5,0.95,3.0980557410437792,0.45638,0.21166666666666667,0.7647058823529411,0.078,0.1415607985480944,39,88,12,461
iq:stft,relation_zdist,Tx6,0.95,3.0980557410437792,0.46038,0.20833333333333334,0.7551020408163265,0.074,0.13479052823315119,37,88,12,463
iq:stft,relation_zdist,Tx7,0.95,3.0980557410437792,0.45136,0.21166666666666667,0.7647058823529411,0.078,0.1415607985480944,39,88,12,461
iq:stft,relation_zdist,Tx8,0.95,3.0980557410437792,0.44368,0.18666666666666668,0.6666666666666666,0.048,0.08955223880597014,24,88,12,476
iq:stft,relation_zdist,Tx2,0.97,3.8265974562766836,0.45608,0.22333333333333333,0.84,0.084,0.15272727272727274,42,92,8,458
iq:stft,relation_zdist,Tx3,0.97,3.8265974562766836,0.47486,0.23,0.8518518518518519,0.092,0.16606498194945848,46,92,8,454
iq:stft,relation_zdist,Tx4,0.97,3.8265974562766836,0.4844,0.215,0.8222222222222222,0.074,0.13577981651376148,37,92,8,463
iq:stft,relation_zdist,Tx5,0.97,3.8265974562766836,0.45638,0.20833333333333334,0.8048780487804879,0.066,0.12199630314232902,33,92,8,467
iq:stft,relation_zdist,Tx6,0.97,3.8265974562766836,0.46038,0.20666666666666667,0.8,0.064,0.11851851851851851,32,92,8,468
iq:stft,relation_zdist,Tx7,0.97,3.8265974562766836,0.45136,0.2,0.7777777777777778,0.056,0.1044776119402985,28,92,8,472
iq:stft,relation_zdist,Tx8,0.97,3.8265974562766836,0.44368,0.18166666666666667,0.68,0.034,0.06476190476190476,17,92,8,483
iq:stft,relation_pca_residual,Tx2,0.9,0.4263801154015615,0.40598,0.26666666666666666,0.8061224489795918,0.158,0.26421404682274247,79,81,19,421
iq:stft,relation_pca_residual,Tx3,0.9,0.4263801154015615,0.44092,0.285,0.8256880733944955,0.18,0.29556650246305416,90,81,19,410
