fusion,component_count,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
high_cka_relation_pca_rank_mean,7,Tx8,0.97,0.8914392857142858,0.54361,0.23666666666666666,0.875,0.098,0.1762589928057554,49,93,7,451
low_cka_relation_mahal_rank_mean,7,Tx2,0.9,0.8839285714285715,0.47589,0.275,0.8421052631578947,0.16,0.26890756302521013,80,85,15,420
low_cka_relation_mahal_rank_mean,7,Tx3,0.9,0.8839285714285715,0.5166,0.285,0.8514851485148515,0.172,0.2861896838602329,86,85,15,414
low_cka_relation_mahal_rank_mean,7,Tx4,0.9,0.8839285714285715,0.49999,0.28,0.8469387755102041,0.166,0.27759197324414714,83,85,15,417
low_cka_relation_mahal_rank_mean,7,Tx5,0.9,0.8839285714285715,0.48412,0.26666666666666666,0.8333333333333334,0.15,0.2542372881355932,75,85,15,425
low_cka_relation_mahal_rank_mean,7,Tx6,0.9,0.8839285714285715,0.51318,0.29833333333333334,0.8623853211009175,0.188,0.30870279146141216,94,85,15,406
low_cka_relation_mahal_rank_mean,7,Tx7,0.9,0.8839285714285715,0.52274,0.28833333333333333,0.8543689320388349,0.176,0.29187396351575456,88,85,15,412
low_cka_relation_mahal_rank_mean,7,Tx8,0.9,0.8839285714285715,0.48568,0.23333333333333334,0.7857142857142857,0.11,0.19298245614035087,55,85,15,445
low_cka_relation_mahal_rank_mean,7,Tx2,0.95,0.9232142857142858,0.47589,0.25,0.8289473684210527,0.126,0.21875,63,87,13,437
low_cka_relation_mahal_rank_mean,7,Tx3,0.95,0.9232142857142858,0.5166,0.2783333333333333,0.8602150537634409,0.16,0.26981450252951095,80,87,13,420
low_cka_relation_mahal_rank_mean,7,Tx4,0.95,0.9232142857142858,0.49999,0.245,0.821917808219178,0.12,0.2094240837696335,60,87,13,440
low_cka_relation_mahal_rank_mean,7,Tx5,0.95,0.9232142857142858,0.48412,0.25,0.8289473684210527,0.126,0.21875,63,87,13,437
low_cka_relation_mahal_rank_mean,7,Tx6,0.95,0.9232142857142858,0.51318,0.27,0.8522727272727273,0.15,0.25510204081632654,75,87,13,425
low_cka_relation_mahal_rank_mean,7,Tx7,0.95,0.9232142857142858,0.52274,0.27,0.8522727272727273,0.15,0.25510204081632654,75,87,13,425
low_cka_relation_mahal_rank_mean,7,Tx8,0.95,0.9232142857142858,0.48568,0.215,0.7636363636363637,0.084,0.15135135135135136,42,87,13,458
low_cka_relation_mahal_rank_mean,7,Tx2,0.97,0.9414821428571428,0.47589,0.24666666666666667,0.8636363636363636,0.114,0.20141342756183747,57,91,9,443
low_cka_relation_mahal_rank_mean,7,Tx3,0.97,0.9414821428571428,0.5166,0.26666666666666666,0.8846153846153846,0.138,0.23875432525951562,69,91,9,431
low_cka_relation_mahal_rank_mean,7,Tx4,0.97,0.9414821428571428,0.49999,0.22666666666666666,0.8333333333333334,0.09,0.1624548736462094,45,91,9,455
low_cka_relation_mahal_rank_mean,7,Tx5,0.97,0.9414821428571428,0.48412,0.24333333333333335,0.859375,0.11,0.1950354609929078,55,91,9,445
low_cka_relation_mahal_rank_mean,7,Tx6,0.97,0.9414821428571428,0.51318,0.25333333333333335,0.8714285714285714,0.122,0.21403508771929824,61,91,9,439
low_cka_relation_mahal_rank_mean,7,Tx7,0.97,0.9414821428571428,0.52274,0.26166666666666666,0.88,0.132,0.22956521739130434,66,91,9,434
low_cka_relation_mahal_rank_mean,7,Tx8,0.97,0.9414821428571428,0.48568,0.21333333333333335,0.8043478260869565,0.074,0.13553113553113552,37,91,9,463
