pair,method,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
ap:fft,relation_zdist,0.95,4.0240216657458605,0.5411942857142857,0.12527777777777777,0.9782016348773842,0.10257142857142858,0.1856736488233773,359,92,8,3141
ap:fft,relation_zdist,0.97,4.981447103127047,0.5411942857142857,0.10944444444444444,0.9803921568627451,0.08571428571428572,0.15764582238570676,300,94,6,3200
ap:fft,relation_pca_residual,0.9,0.3678824543186836,0.5336971428571429,0.22611111111111112,0.9697368421052631,0.21057142857142858,0.3460093896713615,737,77,23,2763
ap:fft,relation_pca_residual,0.95,0.5356015054100896,0.5336971428571429,0.18083333333333335,0.9758203799654577,0.16142857142857142,0.277028683500858,565,86,14,2935
ap:fft,relation_pca_residual,0.97,0.6286592997121759,0.5336971428571429,0.16055555555555556,0.9760956175298805,0.14,0.2448775612193903,490,88,12,3010
ap:fft,relation_shrinkage_mahalanobis,0.9,67.76606329552882,0.5380914285714286,0.20333333333333334,0.9716417910447761,0.186,0.3122302158273381,651,81,19,2849
ap:fft,relation_shrinkage_mahalanobis,0.95,100.55782042785074,0.5380914285714286,0.15611111111111112,0.9714285714285714,0.136,0.23859649122807017,476,86,14,3024
ap:fft,relation_shrinkage_mahalanobis,0.97,125.05764947995415,0.5380914285714286,0.13361111111111112,0.9798488664987406,0.11114285714285714,0.19964074929432896,389,92,8,3111
ap:stft,relation_zdist,0.9,2.104531824000417,0.5020114285714286,0.1688888888888889,0.9669117647058824,0.15028571428571427,0.2601384767556874,526,82,18,2974
ap:stft,relation_zdist,0.95,3.0060418911623805,0.5020114285714286,0.11305555555555556,0.9723076923076923,0.09028571428571429,0.16522875816993465,316,91,9,3184
ap:stft,relation_zdist,0.97,3.6639071213826053,0.5020114285714286,0.08972222222222222,0.9665271966527197,0.066,0.12356244985290185,231,92,8,3269
ap:stft,relation_pca_residual,0.9,0.463261968234968,0.49632,0.2386111111111111,0.9726027397260274,0.22314285714285714,0.3630025563560307,781,78,22,2719
ap:stft,relation_pca_residual,0.95,0.6087415884254794,0.49632,0.16666666666666666,0.9716981132075472,0.14714285714285713,0.25558312655086846,515,85,15,2985
ap:stft,relation_pca_residual,0.97,0.7686341881566623,0.49632,0.1238888888888889,0.9625668449197861,0.10285714285714286,0.1858544140423335,360,86,14,3140
ap:stft,relation_shrinkage_mahalanobis,0.9,67.00498109608992,0.4993742857142857,0.1775,0.9670710571923743,0.15942857142857142,0.2737306843267108,558,81,19,2942
ap:stft,relation_shrinkage_mahalanobis,0.95,87.07377156640155,0.4993742857142857,0.1322222222222222,0.9723618090452262,0.11057142857142857,0.19856336582863007,387,89,11,3113
ap:stft,relation_shrinkage_mahalanobis,0.97,99.75664514194973,0.4993742857142857,0.1125,0.9721362229102167,0.08971428571428572,0.164268898770599,314,91,9,3186
ap:cepstral,relation_zdist,0.9,1.997251014921046,0.5175028571428572,0.20944444444444443,0.9752906976744186,0.19171428571428573,0.3204393505253105,671,83,17,2829
ap:cepstral,relation_zdist,0.95,3.173417569778027,0.5175028571428572,0.13472222222222222,0.9706601466992665,0.11342857142857143,0.20312100281401893,397,88,12,3103
ap:cepstral,relation_zdist,0.97,3.559233539786549,0.5175028571428572,0.12,0.9715909090909091,0.09771428571428571,0.17757009345794392,342,90,10,3158
ap:cepstral,relation_pca_residual,0.9,0.42761150905500406,0.51534,0.20583333333333334,0.9762258543833581,0.18771428571428572,0.31488138030194107,657,84,16,2843
ap:cepstral,relation_pca_residual,0.95,0.6878663016686066,0.51534,0.1413888888888889,0.9658314350797267,0.12114285714285715,0.2152830667682153,424,85,15,3076
ap:cepstral,relation_pca_residual,0.97,0.8075346637515278,0.51534,0.12027777777777778,0.9637883008356546,0.09885714285714285,0.1793210676341021,346,87,13,3154
ap:cepstral,relation_shrinkage_mahalanobis,0.9,61.886436165916756,0.5207714285714286,0.22277777777777777,0.975609756097561,0.2057142857142857,0.33978291647003306,720,82,18,2780
ap:cepstral,relation_shrinkage_mahalanobis,0.95,91.99967768246577,0.5207714285714286,0.15527777777777776,0.9693251533742331,0.13542857142857143,0.2376535472549511,474,85,15,3026
ap:cepstral,relation_shrinkage_mahalanobis,0.97,109.50440698888754,0.5207714285714286,0.13416666666666666,0.9659367396593674,0.11342857142857143,0.20301713116849912,397,86,14,3103
ap:cyclo,relation_zdist,0.9,2.179653837200655,0.5295885714285714,0.19555555555555557,0.9778481012658228,0.17657142857142857,0.29912875121006777,618,86,14,2882
ap:cyclo,relation_zdist,0.95,3.2184991025406253,0.5295885714285714,0.16111111111111112,0.9761904761904762,0.14057142857142857,0.24575424575424573,492,88,12,3008
ap:cyclo,relation_zdist,0.97,3.8984714810183454,0.5295885714285714,0.14222222222222222,0.9768518518518519,0.12057142857142857,0.21464903357070192,422,90,10,3078
ap:cyclo,relation_pca_residual,0.9,0.37238457147817444,0.5419657142857143,0.26166666666666666,0.9751693002257337,0.24685714285714286,0.3939808481532148,864,78,22,2636
ap:cyclo,relation_pca_residual,0.95,0.5120566017940897,0.5419657142857143,0.20527777777777778,0.9733333333333334,0.18771428571428572,0.3147305389221557,657,82,18,2843
ap:cyclo,relation_pca_residual,0.97,0.5951177483821816,0.5419657142857143,0.18444444444444444,0.9779661016949153,0.16485714285714287,0.2821515892420538,577,87,13,2923
ap:cyclo,relation_shrinkage_mahalanobis,0.9,61.33203784856612,0.5276,0.22805555555555557,0.9774834437086093,0.21085714285714285,0.34688601645123385,738,83,17,2762
ap:cyclo,relation_shrinkage_mahalanobis,0.95,87.09823099866034,0.5276,0.1786111111111111,0.9771528998242531,0.15885714285714286,0.27328581961169823,556,87,13,2944
ap:cyclo,relation_shrinkage_mahalanobis,0.97,103.511309217527,0.5276,0.1613888888888889,0.9743589743589743,0.14114285714285715,0.24656850511604692,494,87,13,3006
ap:hos,relation_zdist,0.9,2.028043232506195,0.5037771428571428,0.16805555555555557,0.9702048417132216,0.14885714285714285,0.2581124597473371,521,84,16,2979
ap:hos,relation_zdist,0.95,4.231621425193224,0.5037771428571428,0.10472222222222222,0.9570957095709571,0.08285714285714285,0.15251117538785167,290,87,13,3210
ap:hos,relation_zdist,0.97,5.336322583465842,0.5037771428571428,0.09027777777777778,0.9518072289156626,0.06771428571428571,0.12643371565750866,237,88,12,3263
ap:hos,relation_pca_residual,0.9,0.3474821692422571,0.6517628571428571,0.3283333333333333,0.9804618117229129,0.31542857142857145,0.47730220492866415,1104,78,22,2396
ap:hos,relation_pca_residual,0.95,0.5190665079332444,0.6517628571428571,0.2061111111111111,0.9762611275964391,0.188,0.31528509822712025,658,84,16,2842
ap:hos,relation_pca_residual,0.97,0.6493280901865676,0.6517628571428571,0.16666666666666666,0.9716981132075472,0.14714285714285713,0.25558312655086846,515,85,15,2985
ap:hos,relation_shrinkage_mahalanobis,0.9,62.22639977291894,0.5265171428571429,0.19111111111111112,0.9681528662420382,0.1737142857142857,0.29457364341085274,608,80,20,2892
ap:hos,relation_shrinkage_mahalanobis,0.95,122.51319860182977,0.5265171428571429,0.1322222222222222,0.9676616915422885,0.11114285714285714,0.19938493080471553,389,87,13,3111
ap:hos,relation_shrinkage_mahalanobis,0.97,142.65243176483966,0.5265171428571429,0.11805555555555555,0.9629629629629629,0.09657142857142857,0.17553882108543234,338,87,13,3162
ap:bispectrum,relation_zdist,0.9,2.138080503266004,0.5275257142857143,0.16944444444444445,0.9722222222222222,0.15,0.25990099009900985,525,85,15,2975
ap:bispectrum,relation_zdist,0.95,3.2279953530869996,0.5275257142857143,0.10583333333333333,0.9636963696369637,0.08342857142857144,0.15356297659742307,292,89,11,3208
ap:bispectrum,relation_zdist,0.97,3.640240208592044,0.5275257142857143,0.09305555555555556,0.9571984435797666,0.07028571428571428,0.13095554964067074,246,89,11,3254
ap:bispectrum,relation_pca_residual,0.9,0.47848808639676393,0.5467228571428572,0.24194444444444443,0.9730061349693252,0.22657142857142856,0.3675550405561993,793,78,22,2707
ap:bispectrum,relation_pca_residual,0.95,0.6631064998438553,0.5467228571428572,0.1663888888888889,0.9734345351043643,0.14657142857142857,0.2547802334243854,513,86,14,2987
ap:bispectrum,relation_pca_residual,0.97,0.7543338869958574,0.5467228571428572,0.14333333333333334,0.9748858447488584,0.122,0.21686135093956324,427,89,11,3073
ap:bispectrum,relation_shrinkage_mahalanobis,0.9,63.05768007169934,0.5334628571428571,0.20444444444444446,0.9718100890207715,0.18714285714285714,0.31384762817441303,655,81,19,2845
ap:bispectrum,relation_shrinkage_mahalanobis,0.95,83.72023291275374,0.5334628571428571,0.14527777777777778,0.9710467706013363,0.12457142857142857,0.22081539630286146,436,87,13,3064
ap:bispectrum,relation_shrinkage_mahalanobis,0.97,107.34781887388878,0.5334628571428571,0.10694444444444444,0.9672131147540983,0.08428571428571428,0.15505913272010513,295,90,10,3205
fft:stft,relation_zdist,0.9,2.1833008772529463,0.5321685714285714,0.14444444444444443,0.9708520179372198,0.12371428571428572,0.21946274708565638,433,87,13,3067
fft:stft,relation_zdist,0.95,3.2016093105840935,0.5321685714285714,0.08222222222222222,0.9622641509433962,0.05828571428571429,0.10991379310344829,204,92,8,3296
