representation,method,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
hos,shrinkage_mahalanobis,0.95,112.73492229828237,0.5329857142857143,0.12361111111111112,0.967479674796748,0.102,0.18454380976996637,357,88,12,3143
hos,shrinkage_mahalanobis,0.97,165.90601168652802,0.5329857142857143,0.08666666666666667,0.9774774774774775,0.062,0.11660397635679741,217,95,5,3283
bispectrum,zdist,0.9,1.901193206877076,0.5144971428571429,0.1913888888888889,0.9788617886178862,0.172,0.29258809234507893,602,87,13,2898
bispectrum,zdist,0.95,2.4652457802248056,0.5144971428571429,0.11694444444444445,0.9762611275964391,0.094,0.1714881417774303,329,92,8,3171
bispectrum,zdist,0.97,3.186017295351171,0.5144971428571429,0.07,0.975,0.044571428571428574,0.08524590163934427,156,96,4,3344
bispectrum,pca_residual,0.9,0.2453674786626345,0.5207057142857143,0.3022222222222222,0.9768339768339769,0.28914285714285715,0.44620811287477957,1012,76,24,2488
bispectrum,pca_residual,0.95,0.2696275647538829,0.5207057142857143,0.20916666666666667,0.9780380673499268,0.19085714285714286,0.3193879990437485,668,85,15,2832
bispectrum,pca_residual,0.97,0.28482572036473097,0.5207057142857143,0.1663888888888889,0.9788867562380038,0.1457142857142857,0.25366824173091274,510,89,11,2990
bispectrum,shrinkage_mahalanobis,0.9,137.59554303393654,0.5237971428571429,0.5325,0.9734236581552892,0.5337142857142857,0.6894260933751615,1868,49,51,1632
bispectrum,shrinkage_mahalanobis,0.95,150.0825283284408,0.5237971428571429,0.43805555555555553,0.9755312298776562,0.4328571428571429,0.5996437759746686,1515,62,38,1985
bispectrum,shrinkage_mahalanobis,0.97,156.64494562035776,0.5237971428571429,0.3963888888888889,0.9756272401433692,0.38885714285714285,0.5560776302349336,1361,66,34,2139
