representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
ap,pca_residual,Tx5,0.9,0.029092866965176573,0.54774,0.29833333333333334,0.8623853211009175,0.188,0.30870279146141216,94,85,15,406
ap,pca_residual,Tx6,0.9,0.029092866965176573,0.57404,0.335,0.8854961832061069,0.232,0.3676703645007924,116,85,15,384
ap,pca_residual,Tx7,0.9,0.029092866965176573,0.56084,0.335,0.8854961832061069,0.232,0.3676703645007924,116,85,15,384
ap,pca_residual,Tx8,0.9,0.029092866965176573,0.60902,0.365,0.8993288590604027,0.268,0.41294298921417566,134,85,15,366
ap,pca_residual,Tx2,0.95,0.039059783342522574,0.51708,0.26666666666666666,0.8947368421052632,0.136,0.23611111111111113,68,92,8,432
ap,pca_residual,Tx3,0.95,0.039059783342522574,0.5581,0.275,0.9012345679012346,0.146,0.2512908777969019,73,92,8,427
ap,pca_residual,Tx4,0.95,0.039059783342522574,0.5445,0.2833333333333333,0.9069767441860465,0.156,0.26621160409556316,78,92,8,422
ap,pca_residual,Tx5,0.95,0.039059783342522574,0.54774,0.26,0.8888888888888888,0.128,0.22377622377622375,64,92,8,436
ap,pca_residual,Tx6,0.95,0.039059783342522574,0.57404,0.3,0.9166666666666666,0.176,0.29530201342281875,88,92,8,412
ap,pca_residual,Tx7,0.95,0.039059783342522574,0.56084,0.29333333333333333,0.9130434782608695,0.168,0.28378378378378377,84,92,8,416
ap,pca_residual,Tx8,0.95,0.039059783342522574,0.60902,0.2966666666666667,0.9148936170212766,0.172,0.2895622895622895,86,92,8,414
ap,pca_residual,Tx2,0.97,0.04618935212920518,0.51708,0.24833333333333332,0.8888888888888888,0.112,0.19893428063943158,56,93,7,444
ap,pca_residual,Tx3,0.97,0.04618935212920518,0.5581,0.25833333333333336,0.8985507246376812,0.124,0.21792618629173988,62,93,7,438
ap,pca_residual,Tx4,0.97,0.04618935212920518,0.5445,0.24666666666666667,0.8870967741935484,0.11,0.19572953736654805,55,93,7,445
ap,pca_residual,Tx5,0.97,0.04618935212920518,0.54774,0.24,0.8793103448275862,0.102,0.18279569892473116,51,93,7,449
ap,pca_residual,Tx6,0.97,0.04618935212920518,0.57404,0.2683333333333333,0.9066666666666666,0.136,0.2365217391304348,68,93,7,432
ap,pca_residual,Tx7,0.97,0.04618935212920518,0.56084,0.26666666666666666,0.9054054054054054,0.134,0.2334494773519164,67,93,7,433
ap,pca_residual,Tx8,0.97,0.04618935212920518,0.60902,0.27,0.9078947368421053,0.138,0.23958333333333337,69,93,7,431
ap,shrinkage_mahalanobis,Tx2,0.9,44.84222516057685,0.50154,0.25833333333333336,0.7894736842105263,0.15,0.25210084033613445,75,80,20,425
ap,shrinkage_mahalanobis,Tx3,0.9,44.84222516057685,0.54968,0.2733333333333333,0.8076923076923077,0.168,0.2781456953642384,84,80,20,416
ap,shrinkage_mahalanobis,Tx4,0.9,44.84222516057685,0.54104,0.26166666666666666,0.7938144329896907,0.154,0.25795644891122277,77,80,20,423
ap,shrinkage_mahalanobis,Tx5,0.9,44.84222516057685,0.5291,0.24333333333333335,0.7674418604651163,0.132,0.22525597269624575,66,80,20,434
ap,shrinkage_mahalanobis,Tx6,0.9,44.84222516057685,0.55004,0.30333333333333334,0.8360655737704918,0.204,0.3279742765273312,102,80,20,398
ap,shrinkage_mahalanobis,Tx7,0.9,44.84222516057685,0.59182,0.28833333333333333,0.8230088495575221,0.186,0.30342577487765093,93,80,20,407
ap,shrinkage_mahalanobis,Tx8,0.9,44.84222516057685,0.58038,0.27666666666666667,0.8113207547169812,0.172,0.2838283828382838,86,80,20,414
ap,shrinkage_mahalanobis,Tx2,0.95,61.330845681684536,0.50154,0.22333333333333333,0.8035714285714286,0.09,0.16187050359712232,45,89,11,455
ap,shrinkage_mahalanobis,Tx3,0.95,61.330845681684536,0.54968,0.24,0.8333333333333334,0.11,0.1943462897526502,55,89,11,445
ap,shrinkage_mahalanobis,Tx4,0.95,61.330845681684536,0.54104,0.23666666666666666,0.828125,0.106,0.1879432624113475,53,89,11,447
ap,shrinkage_mahalanobis,Tx5,0.95,61.330845681684536,0.5291,0.22833333333333333,0.8135593220338984,0.096,0.17173524150268338,48,89,11,452
ap,shrinkage_mahalanobis,Tx6,0.95,61.330845681684536,0.55004,0.25666666666666665,0.8552631578947368,0.13,0.22569444444444445,65,89,11,435
ap,shrinkage_mahalanobis,Tx7,0.95,61.330845681684536,0.59182,0.255,0.8533333333333334,0.128,0.22260869565217392,64,89,11,436
